Region,Date,Water_Stress_Level (%),Rainfall (mm),Crop_Recommendation,Irrigation_Schedule
Nairobi,2024-08,40,60,Maize,Every 2-3 days
Nairobi,2024-09,45,50,Maize,Every 2-3 days
Nairobi,2024-10,35,100,Maize,Every 2-3 days
Nairobi,2024-11,30,120,Maize,Every 2-3 days
Nairobi,2024-12,35,100,Maize,Every 2-3 days
Nairobi,2025-01,50,30,Maize,Every 4-5 days
Nairobi,2025-02,55,25,Maize,Every 4-5 days
Nairobi,2025-03,25,150,Maize,Every 2-3 days
Nairobi,2025-04,20,180,Maize,Every 2-3 days
Nairobi,2025-05,25,140,Maize,Every 2-3 days
Nairobi,2025-06,45,40,Maize,Every 2-3 days
Nairobi,2025-07,50,30,Maize,Every 4-5 days
Nairobi,2025-08,40,60,Maize,Every 2-3 days
Makueni,2024-08,75,20,Sorghum,Every 6-7 days
Makueni,2024-09,80,15,Sorghum,Every 6-7 days
Makueni,2024-10,65,50,Sorghum,Every 4-5 days
Makueni,2024-11,60,60,Sorghum,Every 4-5 days
Makueni,2024-12,65,50,Sorghum,Every 4-5 days
Makueni,2025-01,85,10,Sorghum,Every 6-7 days
Makueni,2025-02,90,5,Sorghum,Every 6-7 days
Makueni,2025-03,55,80,Sorghum,Every 4-5 days
Makueni,2025-04,50,100,Sorghum,Every 4-5 days
Makueni,2025-05,55,80,Sorghum,Every 4-5 days
Makueni,2025-06,80,15,Sorghum,Every 6-7 days
Makueni,2025-07,85,10,Sorghum,Every 6-7 days
Makueni,2025-08,75,20,Sorghum,Every 6-7 days
Kitui,2024-08,80,15,Millet,Every 6-7 days
Kitui,2024-09,85,10,Millet,Every 6-7 days
Kitui,2024-10,70,40,Millet,Every 4-5 days
Kitui,2024-11,65,50,Millet,Every 4-5 days
Kitui,2024-12,70,40,Millet,Every 4-5 days
Kitui,2025-01,90,5,Millet,Every 6-7 days
Kitui,2025-02,95,3,Millet,Every 6-7 days
Kitui,2025-03,60,70,Millet,Every 4-5 days
Kitui,2025-04,55,90,Millet,Every 4-5 days
Kitui,2025-05,60,70,Millet,Every 4-5 days
Kitui,2025-06,85,10,Millet,Every 6-7 days
Kitui,2025-07,90,5,Millet,Every 6-7 days
Kitui,2025-08,80,15,Millet,Every 6-7 days
Machakos,2024-08,65,30,Cowpea,Every 4-5 days
Machakos,2024-09,70,25,Cowpea,Every 4-5 days
Machakos,2024-10,55,60,Cowpea,Every 4-5 days
Machakos,2024-11,50,70,Cowpea,Every 4-5 days
Machakos,2024-12,55,60,Cowpea,Every 4-5 days
Machakos,2025-01,75,15,Cowpea,Every 6-7 days
Machakos,2025-02,80,10,Cowpea,Every 6-7 days
Machakos,2025-03,45,90,Cowpea,Every 2-3 days
Machakos,2025-04,40,100,Cowpea,Every 2-3 days
Machakos,2025-05,45,80,Cowpea,Every 2-3 days
Machakos,2025-06,70,20,Cowpea,Every 4-5 days
Machakos,2025-07,75,15,Cowpea,Every 6-7 days
Machakos,2025-08,65,30,Cowpea,Every 4-5 days
Embu,2024-08,50,50,Beans,Every 2-3 days
Embu,2024-09,55,40,Beans,Every 4-5 days
Embu,2024-10,40,90,Beans,Every 2-3 days
Embu,2024-11,35,100,Beans,Every 2-3 days
Embu,2024-12,40,90,Beans,Every 2-3 days
Embu,2025-01,60,20,Beans,Every 4-5 days
Embu,2025-02,65,15,Beans,Every 4-5 days
Embu,2025-03,30,130,Beans,Every 2-3 days
Embu,2025-04,25,150,Beans,Every 2-3 days
Embu,2025-05,30,120,Beans,Every 2-3 days
Embu,2025-06,55,30,Beans,Every 4-5 days
Embu,2025-07,60,20,Beans,Every 4-5 days
Embu,2025-08,50,50,Beans,Every 2-3 days
```,,,,,
